"key","open_and_validate_gatsby-configs","load_plugins","onPreInit","initialize_cache","copy_gatsby_files","onPreBootstrap","createSchemaCustomization","source_and_transform_nodes","building_schema","createPages","createPagesStatefully","updating_schema","onPreExtractQueries","extract_queries_from_components","write_out_redirect_data","Build_manifest_and_related_icons","onPostBootstrap","run_static_queries","run_page_queries","write_out_requires","Building_production_JavaScript_and_CSS_bundles","Rewriting_compilation_hashes","Building_static_HTML_for_pages","pages","Delete_previous_page_data","onPostBuild","total_time"
"conditional-result-1.txt","0.019","0.132","0.005","0.006","0.017","0.005","0.011","3.607","1.025","0.070","0.047","0.021","0.001","0.204","0.001","0.001","0.004","0.031","0.052","0.003","10.014","0.002","3.125","31","0.001","0.007","20.80"
"conditional-result-2.txt","0.019","0.126","0.005","0.005","0.022","0.005","0.005","3.771","0.981","0.074","0.048","0.021","0.001","0.208","0.001","0.001","0.004",,"0.009","0.004","2.888",,"1.167","0","0.001","0.007","11.77"
"conditional-result-3.txt","0.019","0.126","0.005","0.005","0.023","0.005","0.005","3.871","1.018","0.074","0.047","0.020","0.001","0.205","0.001","0.001","0.004",,"0.009","0.004","2.878",,"1.157","0","0.001","0.007","11.90"
"conditional-result-4.txt","0.019","0.130","0.005","0.005","0.023","0.005","0.005","3.636","1.009","0.074","0.047","0.020","0.001","0.207","0.001","0.001","0.004",,"0.009","0.004","2.868",,"1.182","0","0.001","0.007","11.68"
"conditional-result-5.txt","0.022","0.123","0.008","0.005","0.020","0.005","0.003","3.608","1.023","0.076","0.048","0.020","0.001","0.208","0.001","0.001","0.004",,"0.008","0.004","2.921",,"1.131","0","0.001","0.007","11.68"
"simple-result-1.txt","0.019","0.131","0.006","0.005","0.018","0.005","0.010","4.044","1.020","0.070","0.045","0.020","0.003","0.201","0.004","0.001","0.006","0.031","0.049","0.005","10.010","0.002","3.104","31",,"0.007","21.22"
"simple-result-2.txt","0.024","0.125","0.006","0.005","0.021","0.005","0.005","3.628","1.038","0.070","0.047","0.019","0.001","0.204","0.001","0.001","0.006","0.031","0.051","0.003","10.038","0.002","3.183","31",,"0.007","20.91"
"simple-result-3.txt","0.024","0.124","0.005","0.009","0.017","0.005","0.005","3.614","1.067","0.071","0.047","0.021","0.001","0.203","0.001","0.001","0.006","0.031","0.050","0.003","9.975","0.002","3.132","31",,"0.007","20.81"
"simple-result-4.txt","0.019","0.134","0.005","0.005","0.017","0.008","0.003","3.938","0.990","0.070","0.047","0.020","0.001","0.205","0.001","0.001","0.006","0.031","0.049","0.004","9.898","0.002","3.260","31",,"0.007","21.13"
"simple-result-5.txt","0.019","0.132","0.006","0.005","0.017","0.005","0.011","3.611","1.011","0.070","0.047","0.020","0.001","0.203","0.001","0.001","0.006","0.031","0.050","0.003","9.979","0.002","3.324","31",,"0.007","20.98"